,0
1377,memory
1378,lots
1379,loss
1380,likeness
1381,leaving
1382,inclined
1383,imitator
1384,hunting
1385,hundred
1386,games
1387,forgotten
1388,exception
1389,ears
1390,differ
1391,cure
1392,cowardice
1393,corruption
1394,chorus
1395,charm
1396,cephalus
1397,brothers
1398,attention
1399,arrive
1400,amid
1401,along
1402,addition
1403,acts
1404,wives
1405,warrior
1406,unwilling
1407,unknown
1408,tried
1409,tribes
1410,terrible
1411,sounds
1412,slavery
1413,six
1414,selection
1415,remaining
1416,provided
1417,pray
1418,otherwise
1419,mythology
1420,modes
1421,merely
1422,improvement
1423,harmonies
1424,finds
1425,falls
1426,faculties
1427,expect
1428,empire
1429,dies
1430,destruction
1431,depart
1432,courageous
1433,corresponding
1434,connexion
1435,composition
1436,brave
1437,blood
1438,behind
1439,bed
1440,ashamed
1441,advantages
1442,weakness
1443,upper
1444,unnatural
1445,undergo
1446,tendency
1447,temper
1448,simply
1449,sexes
1450,senses
1451,seasons
1452,search
1453,repeated
1454,regulated
1455,raised
1456,prize
1457,preceded
1458,possessions
1459,portions
1460,offices
1461,occurs
1462,limit
1463,lacedaemon
1464,join
1465,instruction
1466,grows
1467,getting
1468,followed
1469,fighting
1470,explained
1471,endure
1472,eldest
1473,eating
1474,director
1475,details
1476,consent
1477,censure
1478,brings
1479,amusement
1480,air
1481,affected
1482,wicked
1483,teachers
1484,sex
1485,secret
1486,saved
1487,paradox
1488,obedience
1489,melody
1490,letters
1491,lacedaemonian
1492,kingdom
1493,jest
1494,iron
1495,husbandmen
1496,greeks
1497,gift
1498,festival
1499,everywhere
1500,dwelling
1501,dwell
1502,disorder
1503,destroy
1504,decided
1505,claim
1506,choruses
1507,characteristic
1508,bound
1509,barbarians
1510,arithmetic
1511,applied
1512,accordingly
1513,write
1514,wings
1515,walk
1516,union
1517,theory
1518,theft
1519,sufficiently
1520,sophist
1521,singular
1522,ship
1523,seven
1524,serve
1525,returns
1526,requires
1527,prior
1528,prayer
1529,practised
1530,persuasion
1531,permitted
1532,peculiar
1533,orphans
1534,opposed
1535,oligarchical
1536,offered
1537,nurses
1538,neighbour
1539,man’s
1540,mad
1541,judged
1542,intention
1543,innocent
1544,imperfect
1545,husband
1546,holds
1547,hesiod
1548,heat
1549,forward
1550,filled
1551,fancies
1552,express
1553,explanation
1554,execution
1555,evidence
1556,duly
1557,dog
1558,dispute
1559,deeds
1560,creature
1561,create
1562,confined
1563,complete
1564,carpenter
1565,believed
1566,behalf
1567,base
1568,attribute
1569,arrangement
1570,appeared
1571,answered
1572,adapted
1573,acknowledged
1574,witnesses
1575,tenth
1576,tells
1577,symposium
1578,sell
1579,scale
1580,remarkable
1581,regulation
1582,region
1583,recollection
1584,realized
1585,reached
1586,pursue
1587,purification
1588,proposal
1589,presence
1590,possessed
1591,position
1592,plan
1593,open
1594,moon
1595,misery
1596,meanness
1597,invented
1598,interval
1599,innumerable
1600,immortality
1601,hurt
1602,framed
1603,fill
1604,feet
1605,fault
1606,fallen
1607,extreme
1608,extent
1609,diseases
1610,discussed
1611,dionysus
1612,created
1613,consistent
1614,commit
1615,commanders
1616,clearness
1617,civil
1618,arranged
1619,approve
1620,appeal
1621,analogy
1622,alive
1623,aged
1624,address
1625,wonderful
1626,whence
1627,votes
1628,variance
1629,vain
1630,uses
1631,united
1632,truer
1633,task
1634,tables
1635,suspect
1636,superiority
1637,standard
1638,social
1639,sixty
1640,sixth
1641,seriously
1642,selected
1643,rise
1644,represented
1645,removed
1646,reflect
1647,reasonable
1648,reach
1649,pythagorean
1650,progress
1651,preservation
1652,preceding
1653,physical
1654,overcome
1655,opposites
1656,objection
1657,nocturnal
1658,kinsmen
1659,intentionally
1660,inhabitants
1661,inference
1662,impious
1663,imitative
1664,imitations
1665,illustration
1666,hereafter
1667,harmonious
1668,grace
1669,governed
1670,glory
1671,fortunate
1672,formed
1673,facts
1674,exists
1675,excessive
1676,essence
1677,escaped
1678,effected
1679,divide
1680,distribution
1681,discover
1682,delight
1683,defendant
1684,declare
1685,dangerous
1686,damages
1687,contemplation
1688,cold
1689,blows
1690,began
1691,armed
1692,aristocracy
1693,ambition
1694,agreement
1695,acting
1696,virtuous
1697,variety
1698,treated
1699,touching
1700,touch
1701,thirst
1702,tend
1703,stone
1704,soil
1705,sir
1706,results
1707,reflections
1708,reduced
1709,quick
1710,proposed
1711,price
1712,plain
1713,patient
1714,passionate
1715,orders
1716,orderly
1717,opposition
1718,observation
1719,oath
1720,nurture
1721,neighbours
1722,mathematical
1723,limits
1724,lies
1725,leaves
1726,leader
1727,lawgivers
1728,kept
1729,instrument
1730,include
1731,imaginary
1732,friendly
1733,frame
1734,forty
1735,finally
1736,fiction
1737,fatal
1738,expressed
1739,examples
1740,ethics
1741,elsewhere
1742,elders
1743,defend
1744,creatures
1745,considerable
1746,colours
1747,civilized
1748,childhood
1749,charioteer
1750,careful
1751,birds
1752,attempts
1753,aside
1754,administration
1755,yours
1756,working
1757,wishes
1758,weaker
1759,voluntarily
1760,unholy
1761,truths
1762,throughout
1763,talk
1764,suited
1765,suffering
1766,stones
1767,standing
1768,spartans
1769,sophists
1770,slight
1771,shame
1772,retained
1773,relating
1774,regulate
1775,regards
1776,rare
1777,raise
1778,pursued
1779,punish
1780,profit
1781,proceeding
1782,praised
1783,poetical
1784,poems
1785,physicians
1786,persian
1787,payment
1788,needed
1789,nearer
1790,murderer
1791,mighty
1792,met
1793,lyre
1794,lord
1795,line
1796,leisure
1797,leaders
1798,keeping
1799,invention
1800,instruments
1801,insolence
1802,infer
1803,incurable
1804,including
1805,husbandman
1806,holding
1807,heir
1808,heads
1809,goddess
1810,forget
1811,followers
1812,exercised
1813,exceed
1814,examine
1815,enable
1816,egypt
1817,dishonour
1818,discipline
1819,directed
1820,dealings
1821,darkness
1822,dark
1823,contest
1824,constitutions
1825,condemned
1826,colour
1827,co
1828,cease
1829,carries
1830,blessings
1831,belongs
1832,beings
1833,beasts
1834,bearing
1835,assent
1836,around
1837,approach
1838,application
1839,anybody
1840,allows
1841,accept
1842,absence
1843,win
1844,verse
1845,unite
1846,turning
1847,troy
1848,tends
1849,studies
1850,statement
1851,spring
1852,spend
1853,solon
1854,slain
1855,scrutiny
1856,running
1857,road
1858,remainder
1859,refuses
1860,primitive
1861,previously
1862,population
1863,persians
1864,path
1865,opportunity
1866,nevertheless
1867,musician
1868,metic
1869,meeting
1870,mathematics
1871,materials
1872,lightly
1873,lacedaemonians
1874,interpreters
1875,inspiration
1876,information
1877,influences
1878,impose
1879,imagined
1880,g
1881,fulfil
1882,forbidden
1883,fix
1884,favour
1885,fate
1886,faith
1887,exchange
1888,eternal
1889,den
1890,define
1891,decline
1892,daily
1893,criticism
1894,cretans
1895,correct
1896,converse
1897,contemporaries
1898,companion
1899,charming
1900,changed
1901,calling
1902,calculation
1903,burial
1904,belong
1905,became
1906,basis
1907,assist
1908,asks
1909,ancestors
1910,agreeable
1911,advise
1912,wits
1913,wherever
1914,waste
1915,wanted
1916,trying
1917,treatment
1918,teacher
1919,struck
1920,square
1921,ships
1922,sheep
1923,severally
1924,seventh
1925,sailors
1926,roman
1927,represents
1928,reference
1929,readily
1930,proverb
1931,promise
1932,profitable
1933,prevented
1934,praising
1935,owner
1936,owing
1937,orphan
1938,notes
1939,naked
1940,months
1941,mixed
1942,misfortune
1943,mass
1944,marriages
1945,market
1946,lying
1947,lived
1948,likewise
1949,laugh
1950,journey
1951,introduction
1952,introduce
1953,included
1954,imagination
1955,ideals
1956,happens
1957,golden
1958,game
1959,gains
1960,gained
1961,fears
1962,desired
1963,design
1964,depth
1965,defined
1966,dangers
1967,corrupted
1968,conquered
1969,centre
1970,building
1971,borrowed
1972,blind
1973,awake
1974,apart
1975,analysis
1976,ago
1977,‘i
1978,weak
1979,warriors
1980,v
1981,using
1982,universe
1983,tyrants
1984,tribe
1985,tragic
1986,toil
1987,telling
1988,supposes
1989,suggested
1990,steps
1991,sought
1992,solid
1993,sick
1994,showing
1995,sensible
1996,risk
1997,remedy
1998,reasoning
1999,protection
2000,prevailed
2001,practical
2002,plays
2003,plaintiff
2004,piece
2005,perception
2006,paid
2007,omitted
2008,nobler
2009,neglected
2010,narrative
2011,moves
2012,motive
2013,monster
2014,model
2015,ministers
2016,mina
2017,maintained
2018,maidens
2019,luxury
2020,laying
2021,kills
2022,intellect
2023,implied
2024,hitherto
2025,hero
2026,hate
2027,govern
2028,gets
2029,fruits
2030,finger
2031,finding
2032,everybody
2033,errors
2034,endless
2035,enacted
2036,eat
2037,earthly
2038,earlier
2039,drones
2040,draws
2041,doctors
2042,disciples
2043,delphi
2044,degrees
2045,convinced
2046,contradiction
2047,contained
2048,conflict
2049,clearer
2050,calls
2051,c
2052,brass
2053,balance
2054,assuming
2055,artisans
2056,anywhere
2057,answering
2058,affection
2059,accustomed
2060,abstraction
2061,wrestling
2062,wave
2063,views
2064,venture
2065,type
2066,truest
2067,troublesome
2068,traces
2069,throw
2070,support
2071,succession
2072,succeed
2073,smaller
2074,sit
2075,silence
2076,righteous
2077,rescue
2078,recognize
2079,rarely
2080,rank
2081,priestesses
2082,pride
2083,practices
2084,offering
2085,occasions
2086,newly
2087,minae
2088,magnesian
2089,ludicrous
2090,leading
2091,intervals
2092,intelligible
2093,informed
2094,inflict
2095,inconsistent
2096,improved
2097,hymns
2098,heed
2099,healthy
2100,grant
2101,girls
2102,furnish
2103,forbid
2104,fly
2105,familiar
2106,exhibit
2107,engaged
2108,ends
2109,ear
2110,doctor
2111,disposition
2112,disgraceful
2113,discovery
2114,describes
2115,deceived
2116,criterion
2117,contrast
2118,contracts
2119,compositions
2120,communion
2121,colonists
2122,church
2123,careless
2124,captain
2125,bringing
2126,breed
2127,believes
2128,banished
2129,authors
2130,athene
2131,assign
2132,asking
2133,approved
2134,appointment
2135,admonition
2136,abroad
2137,‘and
2138,youths
2139,wronged
2140,warlike
2141,walls
2142,unfortunate
2143,unequal
2144,tyrtaeus
2145,teaching
2146,strike
2147,stream
2148,stories
2149,speculations
2150,spectators
2151,sold
2152,sides
2153,settlement
2154,separated
2155,safely
2156,ridicule
2157,reward
2158,refer
2159,profession
2160,probability
2161,posterity
2162,philebus
2163,perpetual
2164,obvious
2165,oaths
2166,nation
2167,mysteries
2168,murdered
2169,movements
2170,meets
2171,main
2172,looks
2173,limited
2174,learnt
2175,late
2176,lastly
2177,irrational
2178,intemperate
2179,impression
2180,imply
2181,hypotheses
2182,historical
2183,guilt
2184,gathered
2185,gather
2186,frequent
2187,extraordinary
2188,extend
2189,examiners
2190,english
2191,eighth
2192,effort
2193,driven
2194,dorian
2195,distribute
2196,disobedient
2197,dishonourable
2198,discourses
2199,desirous
2200,defect
2201,daughters
2202,cp
2203,correspond
2204,contain
2205,consists
2206,conduct
2207,complex
2208,circle
2209,century
2210,celebrated
2211,caused
2212,carrying
2213,buildings
2214,branch
2215,beneath
2216,beaten
2217,assert
2218,assemblies
2219,aspect
2220,arose
2221,argos
2222,appropriate
2223,accusation
2224,wounds
2225,wounded
2226,wound
2227,vulgar
2228,valiant
2229,unnecessary
2230,undoubtedly
2231,turns
2232,toils
2233,timocracy
2234,thou
2235,theme
2236,supreme
2237,summer
2238,submit
2239,springs
2240,spirited
2241,spindle
2242,socratic
2243,skilful
2244,shepherds
2245,shepherd
2246,sentiment
2247,school
2248,save
2249,satisfaction
2250,rhetoricians
2251,reflected
2252,ranks
2253,protagoras
2254,prophet
2255,produced
2256,preferred
2257,polity
2258,plane
2259,pity
2260,pieces
2261,phaedo
2262,persuaded
2263,parallel
2264,outline
2265,originally
2266,needs
2267,nearest
2268,murders
2269,movement
2270,motives
2271,motions
2272,monarchy
2273,minister
2274,mental
2275,mark
2276,management
2277,legal
2278,lands
2279,joy
2280,insight
2281,improve
2282,implies
2283,hears
2284,happiest
2285,guide
2286,greatness
2287,glorious
2288,forced
2289,fitted
2290,feast
2291,failure
2292,examination
2293,esteemed
2294,equals
2295,entrusted
2296,employed
2297,drachmae
2298,discord
2299,devoid
2300,depend
2301,democratic
2302,debt
2303,curious
2304,criminal
2305,cowardly
2306,connected
2307,combined
2308,christ
2309,buy
2310,built
2311,b
2312,avarice
2313,asclepius
2314,arisen
2315,antiquity
2316,ancients
